gpu-02
Device:  cuda
Seed: 0, Batch-Size: 100, Invalid-action-masking: 1
epi: 14300, al: 2.00e-02, cl: 2.05e-01, trSpan: -19.0529, trEntropy: 0.83, teSpan: -19.1345, tr_step: 5720400, time: 299.00
epi: 14400, al: -4.49e-02, cl: 2.37e-01, trSpan: -19.2376, trEntropy: 0.82, teSpan: -19.1096, tr_step: 5760400, time: 295.80
epi: 14500, al: -9.42e-02, cl: 2.57e-01, trSpan: -19.1730, trEntropy: 0.82, teSpan: -19.1660, tr_step: 5800400, time: 297.75
epi: 14600, al: -9.14e-02, cl: 2.31e-01, trSpan: -19.1383, trEntropy: 0.78, teSpan: -19.1498, tr_step: 5840400, time: 300.85
epi: 14700, al: 7.25e-02, cl: 2.64e-01, trSpan: -19.1381, trEntropy: 0.78, teSpan: -19.1456, tr_step: 5880400, time: 301.34
epi: 14800, al: 1.56e-01, cl: 2.21e-01, trSpan: -19.1310, trEntropy: 0.80, teSpan: -19.1723, tr_step: 5920400, time: 300.90
epi: 14900, al: -1.69e-02, cl: 1.91e-01, trSpan: -19.1169, trEntropy: 0.78, teSpan: -19.1748, tr_step: 5960400, time: 297.93
epi: 15000, al: -1.28e-01, cl: 2.50e-01, trSpan: -19.2337, trEntropy: 0.79, teSpan: -19.1411, tr_step: 6000400, time: 300.98
epi: 15100, al: 1.51e-01, cl: 2.56e-01, trSpan: -19.0348, trEntropy: 0.79, teSpan: -19.1093, tr_step: 6040400, time: 299.05
epi: 15200, al: -6.12e-02, cl: 2.26e-01, trSpan: -19.0557, trEntropy: 0.80, teSpan: -19.1514, tr_step: 6080400, time: 300.07
epi: 15300, al: 1.68e-03, cl: 2.08e-01, trSpan: -19.0763, trEntropy: 0.79, teSpan: -19.0911, tr_step: 6120400, time: 300.30
epi: 15400, al: -5.00e-02, cl: 2.13e-01, trSpan: -18.9418, trEntropy: 0.78, teSpan: -19.1024, tr_step: 6160400, time: 300.23
epi: 15500, al: 8.13e-02, cl: 1.93e-01, trSpan: -19.1586, trEntropy: 0.77, teSpan: -19.1400, tr_step: 6200400, time: 298.18
epi: 15600, al: -6.81e-03, cl: 2.02e-01, trSpan: -19.0167, trEntropy: 0.77, teSpan: -19.1035, tr_step: 6240400, time: 301.29
epi: 15700, al: 1.40e-01, cl: 2.52e-01, trSpan: -18.9034, trEntropy: 0.75, teSpan: -19.1049, tr_step: 6280400, time: 299.55
epi: 15800, al: 1.28e-01, cl: 2.49e-01, trSpan: -19.0939, trEntropy: 0.76, teSpan: -19.1060, tr_step: 6320400, time: 302.24
epi: 15900, al: -3.95e-03, cl: 2.10e-01, trSpan: -19.1291, trEntropy: 0.77, teSpan: -19.1183, tr_step: 6360400, time: 302.72
epi: 16000, al: -1.03e-02, cl: 2.28e-01, trSpan: -19.0732, trEntropy: 0.76, teSpan: -19.1518, tr_step: 6400400, time: 298.04
epi: 16100, al: -1.01e-01, cl: 2.11e-01, trSpan: -19.0286, trEntropy: 0.77, teSpan: -19.1631, tr_step: 6440400, time: 297.99
epi: 16200, al: -5.71e-02, cl: 2.03e-01, trSpan: -19.0695, trEntropy: 0.76, teSpan: -19.1197, tr_step: 6480400, time: 297.24
epi: 16300, al: 1.53e-01, cl: 2.27e-01, trSpan: -19.0712, trEntropy: 0.75, teSpan: -19.1203, tr_step: 6520400, time: 303.58
epi: 16400, al: -1.89e-01, cl: 3.13e-01, trSpan: -19.0697, trEntropy: 0.74, teSpan: -19.0755, tr_step: 6560400, time: 300.68
epi: 16500, al: 4.05e-02, cl: 2.28e-01, trSpan: -19.1897, trEntropy: 0.73, teSpan: -19.1143, tr_step: 6600400, time: 299.86
epi: 16600, al: -3.41e-02, cl: 2.59e-01, trSpan: -19.2776, trEntropy: 0.73, teSpan: -19.1153, tr_step: 6640400, time: 300.10
epi: 16700, al: -1.35e-02, cl: 2.49e-01, trSpan: -19.1849, trEntropy: 0.73, teSpan: -19.1071, tr_step: 6680400, time: 297.81
epi: 16800, al: -1.27e-01, cl: 2.78e-01, trSpan: -19.1602, trEntropy: 0.73, teSpan: -19.1284, tr_step: 6720400, time: 299.05
epi: 16900, al: -1.20e-01, cl: 2.89e-01, trSpan: -19.1897, trEntropy: 0.76, teSpan: -19.1311, tr_step: 6760400, time: 299.59
epi: 17000, al: -1.05e-01, cl: 2.74e-01, trSpan: -19.2067, trEntropy: 0.76, teSpan: -19.1506, tr_step: 6800400, time: 302.86
epi: 17100, al: 8.66e-02, cl: 2.64e-01, trSpan: -19.3488, trEntropy: 0.71, teSpan: -19.2135, tr_step: 6840400, time: 300.35
epi: 17200, al: -4.13e-02, cl: 2.56e-01, trSpan: -19.3164, trEntropy: 0.72, teSpan: -19.1116, tr_step: 6880400, time: 299.26
epi: 17300, al: -4.29e-02, cl: 1.83e-01, trSpan: -19.0624, trEntropy: 0.72, teSpan: -19.1236, tr_step: 6920400, time: 300.01
epi: 17400, al: 2.30e-01, cl: 2.22e-01, trSpan: -19.1275, trEntropy: 0.71, teSpan: -19.1052, tr_step: 6960400, time: 301.29
epi: 17500, al: 1.30e-01, cl: 1.91e-01, trSpan: -19.0603, trEntropy: 0.71, teSpan: -19.1365, tr_step: 7000400, time: 301.15
