gpu-01
Device:  cuda
Seed: 0, Batch-Size: 100, Invalid-action-masking: 1
epi: 8400, al: -4.98e-02, cl: 1.40e-01, trSpan: -9.4707, trEntropy: 0.43, teSpan: -9.4241, tr_step: 840100, time: 3.15
epi: 8500, al: -1.12e-01, cl: 2.08e-01, trSpan: -9.4025, trEntropy: 0.46, teSpan: -9.3786, tr_step: 850100, time: 3.17
epi: 8600, al: 4.75e-02, cl: 1.17e-01, trSpan: -9.4221, trEntropy: 0.46, teSpan: -9.4068, tr_step: 860100, time: 3.19
epi: 8700, al: -7.57e-02, cl: 1.63e-01, trSpan: -9.5315, trEntropy: 0.50, teSpan: -9.3919, tr_step: 870100, time: 3.15
epi: 8800, al: -1.73e-02, cl: 1.35e-01, trSpan: -9.4284, trEntropy: 0.47, teSpan: -9.3717, tr_step: 880100, time: 3.12
epi: 8900, al: -6.39e-02, cl: 1.24e-01, trSpan: -9.3632, trEntropy: 0.46, teSpan: -9.3847, tr_step: 890100, time: 3.19
epi: 9000, al: -4.91e-02, cl: 1.40e-01, trSpan: -9.3832, trEntropy: 0.46, teSpan: -9.3750, tr_step: 900100, time: 3.19
epi: 9100, al: -1.00e-02, cl: 1.59e-01, trSpan: -9.4661, trEntropy: 0.50, teSpan: -9.3819, tr_step: 910100, time: 3.12
epi: 9200, al: 2.70e-02, cl: 1.08e-01, trSpan: -9.2740, trEntropy: 0.50, teSpan: -9.3866, tr_step: 920100, time: 3.19
epi: 9300, al: 1.50e-02, cl: 1.52e-01, trSpan: -9.4720, trEntropy: 0.52, teSpan: -9.3999, tr_step: 930100, time: 3.19
epi: 9400, al: -2.94e-02, cl: 1.47e-01, trSpan: -9.5982, trEntropy: 0.52, teSpan: -9.4435, tr_step: 940100, time: 3.20
epi: 9500, al: -1.43e-02, cl: 1.12e-01, trSpan: -9.3099, trEntropy: 0.52, teSpan: -9.3982, tr_step: 950100, time: 3.13
epi: 9600, al: 7.23e-02, cl: 1.42e-01, trSpan: -9.1522, trEntropy: 0.52, teSpan: -9.3949, tr_step: 960100, time: 3.17
epi: 9700, al: 5.67e-02, cl: 1.30e-01, trSpan: -9.3398, trEntropy: 0.49, teSpan: -9.3752, tr_step: 970100, time: 3.15
epi: 9800, al: 2.57e-03, cl: 1.06e-01, trSpan: -9.3335, trEntropy: 0.49, teSpan: -9.3712, tr_step: 980100, time: 3.10
epi: 9900, al: 1.29e-02, cl: 1.26e-01, trSpan: -9.4736, trEntropy: 0.49, teSpan: -9.3844, tr_step: 990100, time: 3.17
epi: 10000, al: 2.47e-02, cl: 1.32e-01, trSpan: -9.4026, trEntropy: 0.48, teSpan: -9.3770, tr_step: 1000100, time: 3.16
epi: 10100, al: 1.67e-02, cl: 1.20e-01, trSpan: -9.3403, trEntropy: 0.48, teSpan: -9.3757, tr_step: 1010100, time: 3.18
epi: 10200, al: 5.84e-02, cl: 1.09e-01, trSpan: -9.3603, trEntropy: 0.47, teSpan: -9.4097, tr_step: 1020100, time: 3.11
epi: 10300, al: -5.25e-02, cl: 1.41e-01, trSpan: -9.3887, trEntropy: 0.46, teSpan: -9.3717, tr_step: 1030100, time: 3.16
epi: 10400, al: 6.26e-02, cl: 1.47e-01, trSpan: -9.2758, trEntropy: 0.46, teSpan: -9.3852, tr_step: 1040100, time: 3.12
epi: 10500, al: 4.45e-02, cl: 1.05e-01, trSpan: -9.3941, trEntropy: 0.47, teSpan: -9.4337, tr_step: 1050100, time: 3.12
epi: 10600, al: -3.01e-02, cl: 1.27e-01, trSpan: -9.5120, trEntropy: 0.45, teSpan: -9.3832, tr_step: 1060100, time: 3.17
epi: 10700, al: 2.16e-02, cl: 1.47e-01, trSpan: -9.3307, trEntropy: 0.46, teSpan: -9.3853, tr_step: 1070100, time: 3.16
epi: 10800, al: -8.03e-03, cl: 1.73e-01, trSpan: -9.4482, trEntropy: 0.47, teSpan: -9.3738, tr_step: 1080100, time: 3.20
epi: 10900, al: -2.93e-02, cl: 1.06e-01, trSpan: -9.3873, trEntropy: 0.46, teSpan: -9.3803, tr_step: 1090100, time: 3.14
epi: 11000, al: 7.21e-04, cl: 1.24e-01, trSpan: -9.3143, trEntropy: 0.47, teSpan: -9.3602, tr_step: 1100100, time: 3.17
epi: 11100, al: 2.58e-02, cl: 1.23e-01, trSpan: -9.3612, trEntropy: 0.47, teSpan: -9.3769, tr_step: 1110100, time: 3.16
epi: 11200, al: 5.24e-02, cl: 1.31e-01, trSpan: -9.3776, trEntropy: 0.46, teSpan: -9.3668, tr_step: 1120100, time: 3.12
epi: 11300, al: -5.95e-03, cl: 1.27e-01, trSpan: -9.4024, trEntropy: 0.45, teSpan: -9.3688, tr_step: 1130100, time: 3.18
epi: 11400, al: 9.89e-02, cl: 1.56e-01, trSpan: -9.3357, trEntropy: 0.45, teSpan: -9.3565, tr_step: 1140100, time: 3.21
epi: 11500, al: 2.53e-02, cl: 1.17e-01, trSpan: -9.2935, trEntropy: 0.46, teSpan: -9.3569, tr_step: 1150100, time: 3.18
epi: 11600, al: -4.93e-02, cl: 1.56e-01, trSpan: -9.3814, trEntropy: 0.46, teSpan: -9.3708, tr_step: 1160100, time: 3.13
epi: 11700, al: 2.30e-03, cl: 1.09e-01, trSpan: -9.3572, trEntropy: 0.45, teSpan: -9.3836, tr_step: 1170100, time: 3.22
epi: 11800, al: 6.25e-02, cl: 1.19e-01, trSpan: -9.4015, trEntropy: 0.46, teSpan: -9.4246, tr_step: 1180100, time: 3.24
epi: 11900, al: 6.41e-02, cl: 1.55e-01, trSpan: -9.3211, trEntropy: 0.46, teSpan: -9.3880, tr_step: 1190100, time: 3.15
epi: 12000, al: 2.94e-03, cl: 1.37e-01, trSpan: -9.4463, trEntropy: 0.47, teSpan: -9.3766, tr_step: 1200100, time: 3.19
epi: 12100, al: -3.17e-02, cl: 1.64e-01, trSpan: -9.4296, trEntropy: 0.48, teSpan: -9.3742, tr_step: 1210100, time: 3.20
epi: 12200, al: 5.39e-02, cl: 1.14e-01, trSpan: -9.3454, trEntropy: 0.48, teSpan: -9.3894, tr_step: 1220100, time: 3.18
epi: 12300, al: 3.08e-03, cl: 1.22e-01, trSpan: -9.4086, trEntropy: 0.47, teSpan: -9.4075, tr_step: 1230100, time: 3.16
epi: 12400, al: -3.01e-02, cl: 1.32e-01, trSpan: -9.3070, trEntropy: 0.47, teSpan: -9.3460, tr_step: 1240100, time: 3.20
epi: 12500, al: 1.96e-02, cl: 9.52e-02, trSpan: -9.3078, trEntropy: 0.47, teSpan: -9.3763, tr_step: 1250100, time: 3.14
epi: 12600, al: 3.50e-03, cl: 1.38e-01, trSpan: -9.4280, trEntropy: 0.48, teSpan: -9.3984, tr_step: 1260100, time: 3.14
epi: 12700, al: -1.01e-02, cl: 1.29e-01, trSpan: -9.4335, trEntropy: 0.47, teSpan: -9.3971, tr_step: 1270100, time: 3.23
epi: 12800, al: 4.14e-02, cl: 1.01e-01, trSpan: -9.4646, trEntropy: 0.48, teSpan: -9.3600, tr_step: 1280100, time: 3.19
epi: 12900, al: 1.40e-02, cl: 1.12e-01, trSpan: -9.3061, trEntropy: 0.47, teSpan: -9.3378, tr_step: 1290100, time: 3.21
epi: 13000, al: 1.13e-02, cl: 1.15e-01, trSpan: -9.3804, trEntropy: 0.46, teSpan: -9.3522, tr_step: 1300100, time: 3.15
epi: 13100, al: -1.91e-02, cl: 1.05e-01, trSpan: -9.3478, trEntropy: 0.45, teSpan: -9.3206, tr_step: 1310100, time: 3.19
epi: 13200, al: -2.19e-02, cl: 1.59e-01, trSpan: -9.5113, trEntropy: 0.45, teSpan: -9.3053, tr_step: 1320100, time: 3.21
epi: 13300, al: 1.94e-02, cl: 1.06e-01, trSpan: -9.2837, trEntropy: 0.45, teSpan: -9.3306, tr_step: 1330100, time: 3.17
epi: 13400, al: -2.72e-02, cl: 1.29e-01, trSpan: -9.2938, trEntropy: 0.44, teSpan: -9.3348, tr_step: 1340100, time: 3.22
epi: 13500, al: -2.90e-03, cl: 9.79e-02, trSpan: -9.3405, trEntropy: 0.45, teSpan: -9.3726, tr_step: 1350100, time: 3.18
epi: 13600, al: -2.23e-02, cl: 1.31e-01, trSpan: -9.4093, trEntropy: 0.43, teSpan: -9.3335, tr_step: 1360100, time: 3.22
epi: 13700, al: 1.21e-02, cl: 1.10e-01, trSpan: -9.4015, trEntropy: 0.46, teSpan: -9.3282, tr_step: 1370100, time: 3.14
epi: 13800, al: -7.67e-03, cl: 1.27e-01, trSpan: -9.3089, trEntropy: 0.47, teSpan: -9.3230, tr_step: 1380100, time: 3.21
epi: 13900, al: 3.60e-02, cl: 1.25e-01, trSpan: -9.3382, trEntropy: 0.49, teSpan: -9.3389, tr_step: 1390100, time: 3.17
epi: 14000, al: 1.52e-02, cl: 1.45e-01, trSpan: -9.2860, trEntropy: 0.50, teSpan: -9.3283, tr_step: 1400100, time: 3.14
epi: 14100, al: -2.93e-02, cl: 1.43e-01, trSpan: -9.3717, trEntropy: 0.51, teSpan: -9.3119, tr_step: 1410100, time: 3.26
epi: 14200, al: 8.94e-03, cl: 1.17e-01, trSpan: -9.3715, trEntropy: 0.52, teSpan: -9.3640, tr_step: 1420100, time: 3.25
epi: 14300, al: -1.98e-02, cl: 1.32e-01, trSpan: -9.3131, trEntropy: 0.51, teSpan: -9.3055, tr_step: 1430100, time: 3.21
epi: 14400, al: 4.27e-02, cl: 1.26e-01, trSpan: -9.2620, trEntropy: 0.53, teSpan: -9.3045, tr_step: 1440100, time: 3.14
epi: 14500, al: -4.54e-02, cl: 1.09e-01, trSpan: -9.3337, trEntropy: 0.53, teSpan: -9.2937, tr_step: 1450100, time: 3.19
epi: 14600, al: 1.12e-02, cl: 1.53e-01, trSpan: -9.3645, trEntropy: 0.53, teSpan: -9.2692, tr_step: 1460100, time: 3.26
epi: 14700, al: -1.51e-02, cl: 1.32e-01, trSpan: -9.2919, trEntropy: 0.56, teSpan: -9.3125, tr_step: 1470100, time: 3.18
epi: 14800, al: -2.49e-02, cl: 1.33e-01, trSpan: -9.4064, trEntropy: 0.58, teSpan: -9.2700, tr_step: 1480100, time: 3.20
